id,accommodates,bathrooms,bedrooms,cleaning_fee,security_deposit,extra_people,guests_included,minimum_nights,host_is_superhost,Laptop_friendly_workspace,Family_kid_friendly,Host_greets_you,Smoking_is_allowed,distance_to_midcenter,size,host_has_profile_pic_0,host_has_profile_pic_1,instant_bookable_f,instant_bookable_t,is_business_travel_ready_f,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
204609,2,1.0,1.0,20.0,100.0,15.0,2,2,0,False,False,True,False,5.2444335623670195,870.0,0,1,1,0,1,0,1,0,0,0
204617,2,1.0,1.0,10.0,0.0,0.0,3,1,0,False,False,False,False,7.646915721057387,15.0,0,1,0,1,1,1,0,0,0,0
205296,4,1.0,2.0,60.0,0.0,20.0,2,5,0,False,False,False,False,13.600589212560436,100.0,0,1,1,0,1,0,0,1,0,0
206021,1,1.0,1.0,50.0,385.0,35.0,1,3,0,False,False,True,False,7.156819089700537,22.0,0,1,0,1,1,0,0,1,0,0
206454,2,1.0,1.0,30.0,150.0,10.0,1,3,0,False,False,False,False,1.364698354649599,22.0,0,1,1,0,1,0,1,0,0,0
207740,5,2.0,3.0,75.0,500.0,0.0,1,3,0,False,False,False,False,3.0133750472680214,22.0,0,1,1,0,1,0,1,0,0,0
208495,2,1.0,1.0,30.0,300.0,20.0,1,2,0,False,False,False,False,4.044981122423857,22.0,0,1,1,0,1,0,0,1,0,0
209649,2,1.0,1.0,45.0,0.0,15.0,1,7,0,False,False,True,False,7.033704833198302,30.0,0,1,1,0,1,0,0,1,0,0
210734,5,1.0,1.0,38.0,0.0,10.0,4,3,1,False,False,True,True,4.804516131382276,10.0,0,1,0,1,1,0,1,0,0,0
212348,2,1.0,1.0,30.0,0.0,0.0,1,2,0,False,False,False,True,4.157785930896035,0.0,0,1,0,1,1,0,1,0,0,0
214491,1,1.0,1.0,30.0,0.0,30.0,1,1,1,False,False,True,False,1.5639781623839903,22.0,0,1,1,0,1,0,0,1,0,0
214518,1,0.0,1.0,5.0,500.0,20.0,1,1,0,False,False,True,False,7.066634932458475,10.0,0,1,0,1,1,1,0,0,0,0
214784,2,1.0,1.0,20.0,0.0,20.0,1,2,1,False,False,False,False,3.6476943116308798,22.0,0,1,0,1,1,0,1,0,0,0
214855,3,1.0,1.0,0.0,0.0,15.0,1,3,1,False,False,True,False,3.961028170641503,22.0,0,1,0,1,1,0,1,0,0,0
220445,2,1.0,1.0,75.0,200.0,0.0,2,30,0,False,False,True,False,7.153034527781807,15.0,0,1,1,0,1,0,0,1,0,0
220808,2,0.5,1.0,20.0,0.0,20.0,1,2,0,False,False,True,False,11.308292668680378,11.0,0,1,1,0,1,0,1,0,0,0
221015,4,1.0,2.0,30.0,0.0,10.0,2,1,1,False,False,True,False,4.286243086544547,55.0,0,1,0,1,1,1,0,0,0,0
222784,2,1.0,1.0,60.0,500.0,10.0,1,60,0,False,False,True,False,4.506464499908581,22.0,0,1,1,0,1,0,0,1,0,0
223622,3,1.0,1.0,50.0,400.0,15.0,1,2,0,False,False,False,True,2.6861250338104576,48.0,0,1,1,0,1,0,1,0,0,0
